attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.4782582880258766,0.682720709659647,0.479814525029944,0.757562983324569,0.49035389212260955,0.6333662019969343,4,4,4,4,4,4,4,4,4,2,0,0,1,0
0.5249384304509616,0.5507978224352976,0.3969528928153621,0.5332807873430996,0.49941347106903267,0.417962099440345,0,0,0,0,0,0,0,0,0,4,4,3,4,0
0.38507125069179504,0.5870881303984001,0.2945575950605353,0.332537118489215,0.4188476371380859,0.41846019336909607,0,0,0,0,0,0,0,0,0,1,0,2,3,0
0.7838475162891332,0.6326275198701414,0.5340666196686112,0.4245783224066124,0.6082548861776732,0.43538142334327484,1,2,1,1,1,4,3,1,2,2,0,2,1,1
0.4314540641642749,0.24914864494601804,0.3931775955991679,0.3374687662312118,0.40105618908713986,0.4726436499550782,0,0,0,0,0,0,0,0,0,4,1,1,4,0
0.5400427287288433,0.6658053685373126,0.5298320178322629,0.3973018580121556,0.4848300686019624,0.5650828515836935,4,4,4,4,4,4,4,4,4,0,1,1,4,0
0.4602675298795719,0.5110170967724887,0.510418045654193,0.4559189760972575,0.6360904235943354,0.6708204809635094,4,4,4,4,4,4,4,4,4,1,3,2,2,0
0.5514902264667989,0.5116382607142501,0.48815199822490996,0.4199233553289558,0.6634408220641397,0.5830282801219807,4,4,4,4,4,4,4,4,4,1,3,2,1,0
0.6448401798147443,0.31764931238186145,0.44617242808878355,0.3626056749725326,0.4633455441489327,0.46052809276652046,0,0,0,0,0,0,0,0,0,2,1,2,0,0
0.6069347111922176,0.5602342836010008,0.5875263314482019,0.5484010786447975,0.5747142624813041,0.5009159313305726,4,4,4,4,4,4,4,4,4,4,2,4,0,0
0.6294466827585077,0.5472016410648884,0.5645348901809751,0.49807155562206606,0.45522603326726896,0.45328509391841426,4,4,4,4,4,4,4,4,4,3,3,3,2,0
0.5504226499937921,0.4881217842079723,0.44307523295855183,0.5598203633636857,0.6263706013134975,0.6020327862221898,4,4,4,4,4,4,4,4,4,0,4,0,2,0
0.546220266960243,0.46804726006836134,0.4747948456746891,0.5241419490521879,0.5057500698184422,0.5273238948292941,4,4,4,4,4,4,4,4,4,0,1,4,1,0
0.7494999611069396,0.5878313684929292,0.6511527890193286,0.5647526743230734,0.5734059095826983,0.591252271119617,4,4,4,4,4,4,4,4,4,0,0,1,4,0
0.581409112160812,0.4349360082562895,0.2507612191628281,0.41672374132693835,0.5589123402922076,0.4306108480363409,0,0,0,0,0,0,0,0,0,3,4,4,4,0
0.49935739503856275,0.48706673156426206,0.38641616999634854,0.5181592819748262,0.3600874149659454,0.3891187836946416,0,0,0,0,0,0,0,0,0,3,2,2,4,0
0.4586510177629284,0.4328490164316462,0.7295853928655444,0.4475712846771687,0.5072374263748264,0.4497930164967455,4,4,4,4,4,4,4,4,4,0,0,4,0,0
0.5635866258082414,0.5861709591352934,0.44969619569121744,0.4843032028489655,0.472862764870815,0.35850399298899716,0,0,0,0,0,0,0,0,0,3,3,2,2,0
0.5171877286585831,0.5307415612376404,0.548581797055741,0.37844667818470434,0.55726983548519,0.46991145017000463,4,4,4,4,4,4,4,4,4,4,1,4,2,0
0.4893968437918925,0.5183915196985595,0.5122214963600576,0.4570825885485084,0.5065109781537739,0.5117661860919186,0,0,0,0,0,0,0,0,0,3,3,1,4,0
0.6057551410063287,0.3846467581223974,0.4268198428533608,0.41080986916214435,0.4485893097275627,0.3219784480057618,0,0,0,0,0,0,0,0,0,4,0,1,0,0
0.3720967244611157,0.5794008949560794,0.4711382069695212,0.45551434396402884,0.5677656307395659,0.5577434063756213,0,0,0,0,0,0,0,0,0,2,3,4,0,0
0.4552219777401538,0.4754659256210263,0.43980799538103904,0.4168646698070356,0.4472269228947038,0.2735294125748552,0,0,0,0,0,0,0,0,0,3,0,2,4,0
0.4095399295311204,0.4287106159906564,0.47458401652338233,0.4848932513224169,0.3922844136640118,0.47011436228435854,0,0,0,0,0,0,0,0,0,1,3,2,0,0
0.43455893501339454,0.5179610129434943,0.4406905202297209,0.5225165687018763,0.5089767992033176,0.5732569277334952,4,4,4,4,4,4,4,4,4,1,4,4,2,0
0.37804242599408217,0.49107655290252844,0.5849633047720795,0.44055918996587545,0.568160136314297,0.6043706275955969,0,0,0,0,0,0,0,0,0,2,1,3,4,0
0.4932075456800501,0.4665015118156693,0.463427217160627,0.4426960028220785,0.3750263497082017,0.4634211078853934,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.32744279667921355,0.4744352156495954,0.39922224230283015,0.4773157391181287,0.3778165121748025,0.5067392193168956,0,0,0,0,0,0,0,0,0,3,4,4,4,0
0.6063395537647791,0.6031654646634763,0.5053936057536934,0.48174566656669426,0.5083279917193564,0.4986799048279352,4,4,4,4,4,4,4,4,4,2,3,1,4,0
0.35701134300291254,0.5955676526217563,0.29801692687492554,0.4648304921206841,0.4592752132502303,0.380908702263755,0,0,0,0,0,0,0,0,0,3,0,2,3,0
0.36876352496205844,0.3811229582783011,0.42230940852362114,0.5671785500912504,0.416404411092686,0.4428746279238378,0,0,0,0,0,0,0,0,0,2,0,4,3,0
0.5670738480211159,0.5447917620198105,0.5255268770265549,0.4529232169395018,0.5920831889775674,0.46821505302933675,4,4,4,4,4,4,4,4,4,4,3,4,1,0
0.3941627293360419,0.4909395279843476,0.5251185666496526,0.588684492368439,0.5802490993436076,0.4950632226025836,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0.4360614222080614,0.6793015868377019,0.5741956704794781,0.6672212139297764,0.4232526207241294,0.5054931229148176,4,4,4,4,4,4,4,4,4,4,1,2,2,0
0.5816379620208009,0.7153194025533981,0.5712629853817967,0.6872615527782369,0.5820396450540963,0.6682599037972198,4,4,4,4,4,4,4,4,4,0,3,3,3,0
0.6747413950223295,0.528948863660625,0.5956232232779257,0.5753177888281976,0.5093009271004185,0.5668643475757645,4,4,4,4,4,4,4,4,4,1,2,3,0,0
0.47222290418995183,0.539176752057095,0.48870035187092037,0.4620097271205753,0.6250098554716154,0.6569189927483952,4,4,4,4,4,4,4,4,4,3,2,2,2,0
0.4474856508404739,0.39569641538374906,0.5708886182926107,0.43955561113706054,0.4334487090874029,0.560533464383065,0,0,0,0,0,0,0,0,0,4,1,1,3,0
0.6698957641455476,0.4415641302171958,0.5714171046773637,0.5046354458110405,0.5718131591608149,0.6017452470363336,4,4,4,4,4,4,4,4,4,2,3,4,3,0
0.5026549025044795,0.7168730941952111,0.5085132254918301,0.5147391870799602,0.5120552626563526,0.574628870881955,4,4,4,4,4,4,4,4,4,0,4,2,3,0
0.558898532546271,0.46111857074723245,0.3978099397257987,0.6618579957162459,0.5729290789416115,0.5733419581558706,1,0,2,2,1,4,4,0,0,2,2,4,2,1
0.4907810097703116,0.40217876041246503,0.3812128848227249,0.48083903658722726,0.4635037077019278,0.45795447255613386,0,0,0,0,0,0,0,0,0,4,1,0,0,0
0.4874940629434031,0.4047737943656671,0.46557647193706386,0.32997601299940155,0.43857548129478585,0.30900144622250253,0,0,0,0,0,0,0,0,0,4,2,2,3,0
0.5854956025151333,0.4103241171992828,0.441842614650706,0.47514870564945855,0.48852092165400546,0.5257817352615204,0,0,0,0,0,0,0,0,0,0,4,1,3,0
0.5410350501891817,0.49494447836230204,0.4575273406341496,0.5300595331872534,0.4111743554050317,0.43408138730244755,0,0,0,0,0,0,0,0,0,4,4,1,0,0
0.448583181233545,0.4792753134556448,0.5440202940088006,0.4137457905339187,0.3803390050400295,0.6481830119642533,0,0,0,0,0,0,0,0,0,1,4,0,1,0
0.5334427725116976,0.40815499497642993,0.6126615233970668,0.5392364322540476,0.6842109882856907,0.5547031620254467,4,4,4,4,4,4,4,4,4,0,3,2,1,0
0.5575616692481501,0.5154873374289992,0.5341656685078681,0.5670762846524352,0.5017997827425877,0.5104817594063781,4,4,4,4,4,4,4,4,4,0,2,2,2,0
0.378473274929474,0.47420085393831996,0.3753307304299611,0.5112315535821541,0.34558381519174863,0.6165083173563658,0,0,0,0,0,0,0,0,0,2,1,2,0,0
0.26605425627257956,0.4005319210258794,0.49230815445034404,0.5055051602412761,0.505350745066473,0.4397023475207012,0,0,0,0,0,0,0,0,0,3,2,0,1,0
0.2995152938532889,0.5352733499424147,0.3400386983094469,0.40480304198128675,0.45315546151176345,0.3325020618273761,0,0,0,0,0,0,0,0,0,4,0,4,2,0
0.43225647888598157,0.37561687955638745,0.43996477266849277,0.444955658232129,0.5046378386959662,0.4909698413323938,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0.4290187983646905,0.47509963236786856,0.41896010133652195,0.34419439913946215,0.5045602863991593,0.47289081561393764,0,0,0,0,0,0,0,0,0,1,3,1,1,0
