attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.4870337774665097,0.6220878350168816,0.47911969163501944,0.42544128573174517,0.7270985449878681,0.6359664491920761,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,0,1,0,0
0.5910422888815707,0.49710464322568565,0.5373175140650324,0.2002042988146827,0.65153136674947,0.4940020840435058,0,0,0,0,0,0,0,0,0,4,4,4,1,1,4,2,3,3,0
0.5683180987513872,0.6629160539176655,0.18906212472963457,0.7668590314284742,0.375503507202752,0.1362707431315785,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,2,0,1,0
0.4789624657932383,0.5136034939771882,0.46730848117896057,0.5198111422454573,0.5003249567695939,0.49407838361750794,4,4,4,4,4,4,4,4,4,0,2,4,2,0,3,1,3,1,0
0.5198232375335085,0.5159878252449672,0.5039287768179971,0.499557993671171,0.4993616363104548,0.501476156803631,4,4,4,4,4,4,4,4,4,3,2,0,4,0,4,4,0,4,0
0.4928248072946754,0.5214595201532711,0.496181369975105,0.4949978119526522,0.4888952600851585,0.504603718251339,4,4,4,4,4,4,4,4,4,4,0,2,2,3,0,4,4,0,0
0.4413648234373745,0.020415001477521233,0.4051815547335538,0.6146486804598539,0.456241491676728,0.688967485700035,0,0,0,0,0,0,0,0,0,3,4,2,1,4,1,1,0,4,0
0.35321726631136263,0.30662308436832797,0.4107851425720629,0.7912005862218227,0.3028728795161203,0.28470613961924585,0,0,0,0,0,0,0,0,0,4,3,3,4,4,1,2,2,2,0
0.6768405419792508,0.35585770686559104,0.711024547945252,0.4810967242503368,0.20549798170811956,0.34644413016416786,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,3,0
0.5023383090788172,0.5094523012177752,0.480877872984709,0.5189244939043335,0.4896457855334479,0.516574414608192,4,4,4,4,4,4,4,4,4,1,2,1,2,1,4,3,2,4,0
0.426544599758558,0.38285954311658943,0.5585641450150693,0.6245724424186018,0.517521485392129,0.5225758115714064,0,0,0,0,0,0,0,0,0,3,1,2,1,1,2,1,4,1,0
0.36921809391749416,0.6747160126065073,0.6676234865208606,0.49592417415060114,0.5878741399584227,0.5725762692272099,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0
0.51879325380657,0.5327128343648018,0.5149854173477438,0.520447909803922,0.45078235824662616,0.5067492631218394,4,4,4,4,4,4,4,4,4,1,2,1,1,0,3,0,3,3,0
