attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,out
con,con,con,con,con,con,cat,cat,cat,cat
0.15288515143686984,0.13697764430650805,0.2177679915799184,0.381706679862124,0.059525490229199424,0.7991091519276217,0,0,0,0
0.3008663719720903,0.18817332386959748,0.22968230677855345,0.5220068059208173,0.584920273222987,0.32197461874330496,0,0,0,0
0.8980384450815182,0.7590624476311413,0.8207519503614513,0.5036902110678507,0.6048518836478077,0.7860275504995706,4,4,4,0
0.2833010435031503,0.20916465868340126,0.19664620083027387,0.8363034016323957,0.04365559090533447,0.3071594745101894,0,0,0,0
0.184966117043235,0.12992439220140872,0.21795645161292804,-0.039619435983851384,0.7366562438615428,0.9992538580952616,0,0,0,0
0.6653366092723147,0.7938003518775691,0.5994951857213269,0.15467596322270613,0.3596869795797123,-0.013079500409175965,4,4,4,0
0.2536913002130443,0.21028392271732108,0.23524110041747467,0.47397379260929506,0.7726289432811964,1.0811765473461916,0,0,0,0
0.24519106162544776,0.2860533092318242,0.2699711401308652,0.5524969725924118,0.0833154328650415,0.05366935660884442,0,0,0,0
0.28651172663486846,0.28693741827387925,-0.03932282756999084,0.933622644583122,0.5215579107279662,0.3496380366166167,1,2,1,1
0.22391923655544801,0.17559599955755334,0.213469499393431,0.9633132958160365,0.9502651743888307,-0.08373946162523008,0,0,0,0
0.20456507350610253,0.3201732633492129,0.27300921482497376,0.5424340112666594,0.977252611806663,0.4366250195094903,0,0,0,0
0.8393196487292695,0.8701865727600381,0.8300484199791804,0.034712850314346955,-0.06965333503934414,0.3939356758747692,4,4,4,0
0.6934319740845836,0.7669854694117192,0.7898756697437567,-0.026802973756240356,0.1066742275919936,0.7433548381366787,4,4,4,0
0.3238102746907683,0.1804871929524935,0.27924592220279054,0.9623492249725972,0.0366275647930467,0.18147659482235384,0,0,0,0
0.2246679238205058,0.2443435090652131,0.1388358955787901,0.9644757954679996,0.08260834982772561,-0.037170963854524376,0,0,0,0
0.8432290449307387,0.7318420929295495,0.7371979419534826,0.403422606413325,0.20853863235574682,1.074943577775246,4,4,4,0
0.22728229399033895,0.2705440650272249,0.25579848173362946,0.9331463068940596,0.9043596472348097,0.29017216256356576,0,0,0,0
0.21387757332787866,0.14610771100195086,0.19890275378332428,-0.06544374499297081,0.8841852238388043,0.26486225450285045,0,0,0,0
0.7476965593840096,0.7503064740328053,0.6946769645287846,0.7471111605668618,0.5412141259391483,0.1876785402887236,4,4,4,0
0.7151862554816268,0.6379131958045554,0.7692994494677204,0.5067446931142785,0.011761983434855239,0.05285858631769699,4,4,4,0
0.7252884619067993,0.713933995870517,0.8091732428081754,-0.03601639591370915,0.872095562240295,0.9295846234891062,4,4,4,0
0.3990892627168182,0.19810158856958607,0.2990488902949184,0.8869357713300234,0.002405071716074944,0.5063889047134702,0,0,0,0
0.6895690846188478,0.9149387666537576,0.7418596896720148,0.27335142839293886,0.8464766825059638,0.630874493419367,4,4,4,0
0.21571709566371097,0.38027827661315816,0.3031887967907753,0.39254224215501726,0.902338977682179,-0.08093051547991789,0,0,0,0
0.1764790154917446,0.2157859579913284,0.33358432201448074,0.2367232481604618,0.3137989526599197,0.04741636429007984,0,0,0,0
0.31298639605053047,0.29752689788407616,0.18280128486555414,0.6473636060804023,0.04166017268207531,0.06981076302891484,0,0,0,0
0.7075820793919597,0.810286590803673,0.6666732514874115,0.5551098074804055,0.4132709276956912,0.9830437756760683,4,4,4,0
