attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.8270324772641962,0.667320671215442,0.7347093901136467,0.6727734728143759,0.8034691526137205,0.2657902760343085,4,4,4,4,4,4,4,4,4,4,0,4,1,1,1,0
0.12854999649555987,0.15190257803050505,0.27029888475446223,0.2435954473577007,0.17068259790127255,0.5116389609449117,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0
0.2891250591411839,0.468077024956708,0.22329274173489386,0.3216933631393219,0.31148440288626245,0.02842765407540429,0,0,0,0,0,0,0,0,0,1,4,3,1,0,2,0
0.4047300198809516,0.2157221591422593,0.2991140997429945,0.26123243468454116,0.2875324022835548,0.5839318799947877,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0
0.6168148155917373,0.7976682668523458,0.6658860070246426,0.684784574910171,0.8207257520398306,0.7942989621242225,4,4,4,4,4,4,4,4,4,0,3,1,3,1,2,0
0.06467083977361562,0.24344790238005193,0.265302132611757,0.25615374619944925,0.29857691054594787,0.495853123719412,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0
0.6875942140423748,0.865315034097766,0.8464081168037604,0.7561241031827713,0.6751126379570533,0.7969037306128264,4,4,4,4,4,4,4,4,4,4,4,3,3,4,0,0
0.0985591941160355,0.2561678361673279,0.17102733383564925,0.37652886913666317,0.19457406735483151,0.11957314598816668,0,0,0,0,0,0,0,0,0,1,4,3,2,1,1,0
0.8685443336293426,0.7159911913584854,0.7175820240082528,0.7025037310842895,0.7431035063440399,-0.024481039491661083,4,4,4,4,4,4,4,4,4,4,3,1,1,2,1,0
0.2354704601992903,0.21641616653975476,0.35633078424468,0.23718067494879636,0.30009821006284276,0.9992304664469842,0,0,0,0,0,0,0,0,0,2,4,0,4,1,0,0
0.7580966895622145,0.7181391078790604,0.7507773569093762,0.8877505519739333,0.8876742103224202,0.8384220581272921,4,4,4,4,4,4,4,4,4,2,1,2,1,3,0,0
0.19767715962219778,0.2744916841039059,0.265877539962163,0.4425958861176654,0.3103088177718608,0.509455213355225,0,0,0,0,0,0,0,0,0,1,3,4,3,4,2,0
0.7029133930989276,0.8347413098400414,0.6813357948680351,0.8011875259829806,0.7068746774003635,0.20314890044642236,4,4,4,4,4,4,4,4,4,1,1,0,2,2,4,0
