attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.821734897128276,0.775011692978957,-0.04336086995136318,0.42915249321601884,1.0638746236975654,0.310490698032528,4,4,4,4,4,4,4,4,4,2,0
0.287030485423045,0.2380888036815253,0.265437350741589,0.48083310326160683,0.18141556312870288,0.1149471850336147,0,0,0,0,0,0,0,0,0,4,0
0.22090322919898986,0.3034368674710039,1.054921072395728,-0.06511964103990348,0.34255437166879904,-0.06775059328916273,0,0,0,0,0,0,0,0,0,3,0
0.5599992391221953,0.7821555611365296,0.8697516607524691,0.5316148077041785,0.6957971212471212,0.12333356926006814,4,4,4,4,4,4,4,4,4,0,0
0.27796604357090304,0.15081785475999618,-0.04487164879780785,0.13951294278427515,0.6268341473584214,0.3210302067919762,0,0,0,0,0,0,0,0,0,1,0
0.812319917279656,0.7961878156215834,0.7834276942609006,0.8121870665915882,0.7536995054775217,0.34816187738221216,4,4,4,4,4,4,4,4,4,1,0
0.21623022074173237,0.33090258691454427,0.9498074873379307,0.6740581097669365,0.8086369271694631,0.7661824037592897,0,0,0,0,0,0,0,0,0,1,0
0.8096088870121638,0.8092204668779845,0.1422157283388393,0.3411778183757724,0.11728170263125404,0.4776356963390534,4,4,4,4,4,4,4,4,4,3,0
0.8518204051460038,0.7602137413462361,0.5312413636503781,0.18267960996790394,0.29974647428109114,0.9633167182998679,4,4,4,4,4,4,4,4,4,4,0
0.7510412337953254,0.7334552198408725,0.1605178108393783,0.5057971436600923,0.924096532217219,-0.029485795178899377,4,4,4,4,4,4,4,4,4,2,0
0.15892144087888133,0.17887162502340903,0.3266604456660681,0.5220687972251419,0.1265621562195073,0.9772771959681497,0,0,0,0,0,0,0,0,0,0,0
0.8164925764135113,0.650237560003193,-0.0028982486310629996,-0.06662199512274622,-0.02252480639006315,-0.04032992964301038,4,4,4,4,4,4,4,4,4,0,0
0.1522719022886311,0.30187950601560315,0.22979092123440137,0.49057189207635615,0.19102887763689286,0.6353466505932166,0,0,0,0,0,0,0,0,0,0,0
0.8105772433212911,0.7334993799304357,0.5138966934731299,0.9863011316305375,0.5230274544529849,0.838073308476079,4,4,4,4,4,4,4,4,4,2,0
0.6095656708265575,0.7278289107318875,0.7381503432009726,0.5964253136580442,0.16669914911271977,0.025758648291295955,4,4,4,4,4,4,4,4,4,0,0
0.25939868721401327,0.2519962378061014,0.8563727764155917,0.6214986888559648,-0.06284109101641704,0.7568036458267575,0,0,0,0,0,0,0,0,0,0,0
0.6828973410089212,0.7526262276508378,0.566775185575608,0.8480728613528208,0.40874956079708163,0.7860508505047907,4,4,4,4,4,4,4,4,4,0,0
0.2703744746423319,0.24606004510632556,0.22971394434603415,0.062379223199673706,1.033845835793738,0.549056784139955,0,0,0,0,0,0,0,0,0,3,0
0.7359133082427057,0.7932979278471,0.917320531011115,-0.004754974475116205,0.6785857810114961,0.18801009341963215,4,4,4,4,4,4,4,4,4,4,0
0.3187495242256061,0.25905150748862643,0.46760943058092547,0.9058457617971976,0.5719438387338782,0.4043773073818289,0,0,0,0,0,0,0,0,0,1,0
