attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat
0.24311438719251532,0.273766625282299,0.31654495868419286,0.5050812111591163,0.29890219838232696,0.3325246045616996,0,0,0,0,0,0
0.634539366800757,0.6206674194158401,0.6073942097900538,0.7872371393838615,0.643675210840435,0.7156970727166154,4,4,4,4,4,0
0.5879817480398964,0.7116675224971761,0.7173896373072235,0.5446912409651097,0.4716154408228643,0.6429114405370333,4,4,4,4,4,0
0.6951263836723716,0.7348356233911852,0.6427654081210717,0.5801050225318597,0.6343843908396332,0.6326865206489689,4,4,4,4,4,0
0.5568845721900945,0.7174442672427197,0.5750650418775017,0.6472979391248834,0.6452492259592285,0.6869766948047072,4,4,4,4,4,0
0.18065154991942434,0.2657276641839307,0.3898956963898329,0.4059195270505292,0.32406886240846794,0.44311761912627445,0,0,0,0,0,0
0.2892751480406172,0.3156667529330957,0.274036736363113,0.32517148902046605,0.5238004458271781,0.5314640232891104,0,0,0,0,0,0
0.17857877253761956,0.397379949610601,0.20304567260946713,0.429975000782102,0.3230709825063816,0.37487021616106997,0,0,0,0,0,0
0.16004420224302948,0.3072219519353913,0.32716779799184653,0.39609817677953524,0.1844153424017607,0.20418158458971888,3,0,3,0,3,1
0.6997436693568164,0.6361312667422191,0.5812594509993675,0.5032512495102636,0.5873541781193348,0.589566005507426,4,4,4,4,4,0
0.5342121612629542,0.7309682590235947,0.765567222786527,0.6064554403650416,0.5309268877954623,0.6615890659435281,4,4,4,4,4,0
0.5898127355494287,0.7234276992601518,0.6326035656795884,0.7327315608793172,0.6263797706560214,0.7522140931565806,4,4,4,4,4,0
0.6693482843778695,0.693356182610251,0.6372712107584785,0.7061757403349755,0.6865166612570112,0.5000221753619605,4,4,4,4,4,0
0.31812633750806085,0.2858920101236522,0.20170160181438973,0.36270130615915647,0.3409231193162341,0.40564364677544285,0,0,0,0,0,0
0.5023340884759886,0.38971829599013513,0.34194268467263017,0.2808366692339299,0.2758428915691888,0.26169243925213975,0,0,0,0,0,0
0.653577494968465,0.6902163169767705,0.7159172480027873,0.5680838275901909,0.5851406681887469,0.6448083185526062,4,4,4,4,4,0
0.2893596246762027,0.3298509127974061,0.32831117246156916,0.5050328362828648,0.2366424787599015,0.3817252633716218,0,0,0,0,0,0
0.30304438454859084,0.28837548235471305,0.37972883988289746,0.4512852600921853,0.2741899733494562,0.27053299216757415,0,0,0,0,0,0
0.5950773703751768,0.6732191342755559,0.7419575634933773,0.6938950321031362,0.7813931089488108,0.6743749471987472,4,4,4,4,4,0
0.5250409017952276,0.5394985292486906,0.5058405041965048,0.6214982898169246,0.7168912993052936,0.6228514567876254,4,4,4,4,4,0
0.6556750827289693,0.7004092299986665,0.6659340649681614,0.5675902631225636,0.5910478537438149,0.6756710072476423,4,4,4,4,4,0
0.28742092803918207,0.28353034130649846,0.3969381798515442,0.3807633664179937,0.45008042111156865,0.3059696877988465,0,0,0,0,0,0
