attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.3728976385835937,0.3142145140773015,0.26290080665274246,0.21597486783688197,0.7782655252140496,0.47473528510777585,0,0,0,0,0,0,0,0,0,0,3,2,3,3,1,0
0.6867580741103119,0.7870703206901061,0.6400080161039092,0.627713230631847,0.6185125605354255,0.06583166563381479,4,4,4,4,4,4,4,4,4,0,2,0,4,3,2,0
0.8572381139381166,0.6902777529941105,0.6580474098020501,0.7434749879541687,0.45108632643146795,0.3511156269149333,4,4,4,4,4,4,4,4,4,0,4,1,0,3,1,0
0.8849849618083834,0.6352976888305595,0.6465507075924735,0.7223194283332617,-0.011873232944034584,0.6683799062905851,4,4,4,4,4,4,4,4,4,3,0,0,2,0,0,0
0.7282492726568938,0.5657964917094626,0.6088362378577099,0.7419273850680695,0.3865925059093499,1.050905149122121,4,4,4,4,4,4,4,4,4,2,2,0,4,3,0,0
0.18925607102202446,0.27390797828367053,0.26572964011835054,0.1450302742148124,0.721318428433576,0.2431467176751998,0,0,0,0,0,0,0,0,0,4,1,4,0,4,0,0
0.6780322105401627,0.7699305949604098,0.6686068739564719,0.8656855978167844,0.33037995737153225,0.6174357252535961,4,4,4,4,4,4,4,4,4,4,1,1,0,1,2,0
0.29843095126387353,0.142914904078123,0.23199889030629509,0.28810996390167964,0.04307983757993772,0.8879351391782052,0,0,0,0,0,0,0,0,0,1,2,1,2,1,4,0
0.6797080205010897,0.8647939397418618,0.7913475014945612,0.675856440530279,0.9035027226064801,0.559357042136708,4,4,4,4,4,4,4,4,4,4,0,3,2,3,0,0
0.8748772447701637,0.6408125063679836,0.7028526765744796,0.7694590220315265,0.2556994379616148,1.1107542356530629,4,4,4,4,4,4,4,4,4,4,0,0,1,0,3,0
0.4987636769395185,0.7525855682665394,0.8315206650189817,0.7446638990926367,0.006985097641967641,1.0587149448209057,3,2,4,1,2,4,4,3,2,3,1,4,3,0,0,1
0.2841570679199794,0.36891230640928263,0.3146308234900735,0.25934787989254643,0.9413825801892294,0.8597285562881659,0,0,0,0,0,0,0,0,0,2,2,4,3,3,4,0
0.22423084302534602,0.13948176652248195,0.27977516801324925,0.17047822290426756,1.078412389760353,0.12408276077787556,0,0,0,0,0,0,0,0,0,2,2,4,3,1,1,0
0.2166823438298517,0.3703336008363938,0.4371341317959858,0.394345681365207,0.6183940149147724,0.49560480545918995,3,4,0,4,1,4,2,1,3,4,2,1,1,3,4,1
0.31955072893409353,0.35710743388394756,0.30813394947498685,0.23180393284387638,0.06753566473104192,0.8774654808372483,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
0.3003598501877909,0.24392408769957244,0.17974993733658437,0.34521751882961327,0.16246935824061604,0.13127706317228272,0,0,0,0,0,0,0,0,0,4,0,3,4,0,1,0
0.1592219676962876,0.28629838761061815,0.21909196202538211,0.4075916332283428,1.0126989338183523,0.5038657387590549,0,0,0,0,0,0,0,0,0,3,4,2,1,2,2,0
0.8189517293787386,0.738491237999128,0.6283865970916086,0.7746771176454698,0.02525024769759654,0.5665190723994132,4,4,4,4,4,4,4,4,4,3,4,4,0,0,1,0
0.8445674786130553,0.7362522385490249,0.6381566759111101,0.7783168638165433,0.7705371852461071,0.8937494463845278,4,4,4,4,4,4,4,4,4,0,1,2,1,1,3,0
0.7043546545264625,0.7807706561235631,0.7682681617448716,0.8172460781373998,1.0374120698785219,0.3371908443583788,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,0
0.6429686599776672,0.7558513693671385,0.7197558877412166,0.6685997614217514,0.055721150018016335,0.15857186092277165,4,4,4,4,4,4,4,4,4,0,0,1,1,2,3,0
0.20578664988943987,0.2591403058402425,0.16615720820830687,0.2838652538789591,1.0052042860799322,1.9177709034176593E-4,0,0,0,0,0,0,0,0,0,4,2,3,0,1,3,0
0.3854103155218107,0.1450302183009436,0.18752541892017585,0.2962243597168701,1.1075469710273458,0.08730356501015404,0,0,0,0,0,0,0,0,0,3,0,3,0,1,2,0
0.23802071129428465,0.3358332580858391,0.10350642644602001,0.38185803529170936,0.8661535927820155,0.146963311262159,0,0,0,0,0,0,0,0,0,0,3,1,4,3,3,0
0.6773814684412721,0.8189836069253167,0.7075922560468217,0.8197663821607623,0.717126903061731,0.5953316326333215,4,4,4,4,4,4,4,4,4,0,3,1,3,0,1,0
0.6406627361782921,0.7670715898907916,0.7080878825001525,0.6502111913391374,0.5329551404491392,0.6620563930430963,4,4,4,4,4,4,4,4,4,3,2,3,2,4,3,0
0.6935963089822574,0.8467064505014826,0.8077958456347657,0.7774930752309074,1.0516223861558758,0.25589787336186687,4,4,4,4,4,4,4,4,4,0,4,1,2,4,4,0
0.23616904965968344,0.30603068290093843,0.22058707213503181,0.16274074833093619,1.0833503868445398,0.9483229557534841,0,0,0,0,0,0,0,0,0,1,3,0,2,4,4,0
0.3711560849242906,0.2573702106518064,0.18100365389647488,0.27718307504862627,-0.017414971819880082,0.8859811006740329,0,0,0,0,0,0,0,0,0,4,4,0,4,3,3,0
0.9377176323413656,0.7938168928042743,0.6357834628539281,0.910032173551462,0.11818058481721846,0.22091416138267145,4,4,4,0,4,3,4,3,1,4,2,2,1,4,1,1
0.22959966212104105,0.3280367535018819,0.15690003472267605,0.234221226476704,0.9471290355221119,0.8364432875213709,0,0,0,0,0,0,0,0,0,3,4,3,2,0,4,0
0.7533206669936009,0.7215180356041118,0.723390958609755,0.7422191464418421,-0.007389481932269806,1.0461026737881456,4,4,4,4,4,4,4,4,4,0,3,3,2,1,4,0
0.22826662621147908,0.2237205487032891,0.33132706046322474,0.2474497190072783,0.6187850288947987,0.7928458400594848,0,0,0,0,0,0,0,0,0,0,2,4,3,0,1,0
0.7424505517214357,0.8230695460265506,0.7881648586287798,0.754465702059466,0.24976969445587238,0.7620225439269872,4,4,4,4,4,4,4,4,4,0,4,3,4,3,2,0
0.6976949326418317,0.8379343432617553,0.52260280381832,0.700356136111702,0.9935618046364608,0.9987182468371373,4,4,4,4,4,4,4,4,4,2,3,0,1,1,3,0
0.8887953322515293,0.788012366045588,0.71633442603114,0.916626492153567,0.8876909707468782,-0.09179623988812194,4,4,4,4,4,4,4,4,4,2,1,3,1,4,0,0
0.26431826309166667,0.18734699299775281,0.17439863814100437,0.3865010838678242,0.8929972823442466,-0.020451965194652047,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0
0.6009616390384991,0.7962543988053724,0.8149314823265698,0.7230215675609007,0.9981572466970353,0.4734145286340714,4,4,4,4,4,4,4,4,4,0,2,1,4,3,1,0
0.28812679825460696,0.1589191525309966,0.18800597287023663,0.35669744222952376,0.3627843044440431,0.36708452617719217,0,0,0,0,0,0,0,0,0,3,0,0,3,1,3,0
0.2474885551631413,0.17158967579905926,0.42748628371041086,0.36458294379945066,0.42457311310501045,0.7886463859505098,0,0,0,0,0,0,0,0,0,4,1,3,4,3,0,0
0.7532688777249047,0.726455211975957,0.7467538948795971,0.799721276643345,0.8783503502729085,0.9527041346992428,4,4,4,4,4,4,4,4,4,0,3,2,1,1,4,0
0.33452987533665185,0.17918043609852274,0.12625634292508042,0.28757055198877557,1.1008025961629895,0.33191442700721063,0,0,0,0,0,0,0,0,0,2,4,0,4,2,3,0
0.30066198562540947,0.31547381281173664,0.24671318333362574,0.2605944776836445,0.7641103616664519,-0.03469634150757228,0,0,0,0,0,0,0,0,0,1,4,0,2,1,3,0
0.25126038611010076,0.19656768593276946,0.18228817224443744,0.12519911130806882,0.613016745371532,0.3679934715786194,0,0,0,0,0,0,0,0,0,3,4,2,3,2,2,0
0.25463234357941544,0.24608437154287563,0.35864736050949336,0.0636948774083263,0.5260591833594734,0.10824133953927936,0,0,0,0,0,0,0,0,0,3,1,2,4,3,3,0
0.36627094253273285,0.18485776404474577,0.26965772244801806,0.25688294184136523,0.5779580639130579,0.9312970266466326,0,0,0,0,0,0,0,0,0,2,2,1,1,3,2,0
0.14924578038557518,0.30884013450658543,0.17719880965065596,0.2785284227892532,0.9642354137755863,0.32513704190566467,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,0
0.29104911768656505,0.27135550787028934,0.21442279466459346,0.1291074831429771,-0.01734410416629542,0.28541846726950504,0,0,0,0,0,0,0,0,0,3,3,0,1,3,0,0
0.3336064763230319,0.3292016693977349,0.2884952276066128,0.26036892391538013,0.9903735816561491,-0.027594251304615583,0,0,0,0,0,0,0,0,0,3,2,4,0,2,4,0
0.2225862305322509,0.24123310542785853,0.08169000531724216,0.25914290841748083,1.0655404770275188,0.8995729441229275,0,0,0,0,0,0,0,0,0,1,3,4,3,4,0,0
0.2857394417481635,0.2814595722918412,0.27929806497840887,0.10333536405150603,0.10883932872957786,0.2156121614834634,0,0,0,0,0,0,0,0,0,3,2,3,3,3,3,0
0.25904367185693017,0.3851689728237669,0.34165655830117164,0.17425019989779533,0.4657425968671497,0.034956085818202726,0,0,0,0,0,0,0,0,0,4,3,0,1,1,2,0
0.5961760774071273,0.7789426908801619,0.7926319031208303,0.7668186157789025,-0.09775934559309306,0.3258040983884764,4,4,4,4,4,4,4,4,4,3,2,2,3,2,1,0
0.204596876872235,0.2156071989406876,0.25101025754815404,0.266921208160136,0.8445762087369884,-0.025585915238207843,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0
0.7259051981761123,0.7012390997947817,0.506415316137683,0.7794155062906972,0.6970010549663586,1.0013132441356882,4,4,4,4,4,4,4,4,4,0,1,1,2,0,1,0
