attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.6501049602637097,0.6652568138401657,0.5181589825932938,0.5773746164463969,0.6883610652562607,0.5767440339493508,4,4,4,4,4,4,4,4,4,0
0.6909634027246527,0.6071670237049945,0.5116985611325139,0.6823744765362824,0.7639130513044443,0.5854405723360967,4,4,4,4,4,4,4,4,4,0
0.45950521281945084,0.38457439676845206,0.35344669012582586,0.5175544288750247,0.4133000608090137,0.45768224191701634,0,0,0,0,0,0,0,0,0,0
0.37155486582598873,0.2590056229227124,0.478790006084049,0.5279809347125533,0.3380639196155798,0.3343992478399282,0,0,0,0,0,0,0,0,0,0
0.6484182997867453,0.5452647532544259,0.6485619737047682,0.5468849001876508,0.4545998586240914,0.48648057869164046,4,4,4,4,4,4,4,4,4,0
0.7784937351556535,0.58778387261501,0.5204683201551594,0.5630220299810198,0.7103102917791306,0.5416334238151217,4,4,4,4,4,4,4,4,4,0
0.5375420892025519,0.6204091963715453,0.669840858063407,0.5548232349166584,0.6763938009649259,0.4400378230469909,4,4,4,4,4,4,4,4,4,0
0.40378805441512755,0.32253585735450857,0.4674612773481134,0.429884190143407,0.3610488916290673,0.44683149964278246,0,0,0,0,0,0,0,0,0,0
0.4557191969117865,0.4843045108715952,0.47478917048122515,0.4244017316719521,0.4218965854447686,0.46448367841832694,0,0,0,0,0,0,0,0,0,0
0.4276137148070934,0.4362036393352967,0.39239856200834416,0.2390898257899451,0.4370131427435322,0.43448055628352017,0,0,0,0,0,0,0,0,0,0
0.42014630374269174,0.4137480584106713,0.4038580082678283,0.23926665732987165,0.35087305151298215,0.30188057118081096,0,0,0,0,0,0,0,0,0,0
0.4737643699545841,0.43134845475361044,0.543791084807873,0.3563685287599246,0.33529903182178394,0.4291059641248651,0,0,0,0,0,0,0,0,0,0
0.4996233877389373,0.39741994086665583,0.42799020825776374,0.34556046305163374,0.39521115928562467,0.4716502947083624,0,0,0,0,0,0,0,0,0,0
0.5251021893576283,0.44175782763881444,0.47894689236128746,0.5994044520572606,0.5529182910063168,0.6086816401359844,4,4,4,4,4,4,4,4,4,0
0.3580551115422451,0.36024624969325025,0.2627125937901093,0.45085004109515375,0.48794467328213265,0.42852435882506834,0,0,0,0,0,0,0,0,0,0
0.5671656330290276,0.5217565624248316,0.5038422940921813,0.5595665920422923,0.6822230459962978,0.5952003452840832,4,4,4,4,4,4,4,4,4,0
0.6731791369680143,0.5609990354304498,0.7760688969229946,0.6548424780848132,0.6778519391403026,0.4323398521376795,4,4,4,4,4,4,4,4,4,0
0.49211159722811093,0.41526075047954847,0.4438175406517432,0.33263919737139186,0.386169855251327,0.31330943332819416,0,0,0,0,0,0,0,0,0,0
0.5554039629556763,0.4071813539210757,0.5860511507493068,0.6619191234450629,0.5323500593072417,0.5887493900436526,4,4,4,4,4,4,4,4,4,0
0.7100676777511963,0.7212813950608967,0.6093042554391083,0.5112197570337962,0.6332831262286807,0.7509576701765828,4,4,4,4,4,4,4,4,4,0
0.41173377412528195,0.4495444978463675,0.4295332691428832,0.4785746899087675,0.29285091009768455,0.33580944731403645,0,0,0,0,0,0,0,0,0,0
0.34052644089455375,0.44217337117407435,0.41023017672686146,0.39740385877105006,0.3985970205572608,0.3836339435859575,0,0,0,0,0,0,0,0,0,0
0.5712095141709994,0.3481778941948547,0.489527937858649,0.38337956351132657,0.4059096248255054,0.4990448252438081,0,0,0,0,0,0,0,0,0,0
0.48812284979351134,0.26651667723292627,0.505447590948584,0.5330115909144304,0.39862267310235844,0.39938652678374664,0,0,0,0,0,0,0,0,0,0
0.49001176228722354,0.45776072956351144,0.5412759204367946,0.6588892638359702,0.5011946677818107,0.458752700497139,4,4,4,4,4,4,4,4,4,0
0.544165625825285,0.40058898441869734,0.5881708667044654,0.49507126378046884,0.5916352612293404,0.592043671155513,4,4,4,4,4,4,4,4,4,0
0.4537991951493138,0.7069556663442628,0.6055149536465858,0.48499723365024866,0.6145383140760999,0.7226378530203543,4,4,4,4,4,4,4,4,4,0
0.6151186140847793,0.6148350303705232,0.7935968238865179,0.6140853462213873,0.5385038105264544,0.6447058884161307,4,4,4,4,4,4,4,4,4,0
0.544933606925576,0.5362237337924619,0.7293237794393664,0.6240580690907283,0.6992583266681575,0.5494226199591066,4,4,4,4,4,4,4,4,4,0
0.7236464154528431,0.6032848781872746,0.4928851695114717,0.5794439238197847,0.7816723659384618,0.5400469477301767,4,4,4,4,4,4,4,4,4,0
0.5143639941340429,0.5571206042982046,0.5720066725896231,0.6607742008184523,0.7476579229633309,0.6091285381842764,4,4,4,4,4,4,4,4,4,0
0.5893215254189857,0.6432655083555155,0.5830473440085442,0.5920636442166043,0.5374548111412281,0.6305741788007446,4,4,4,4,4,4,4,4,4,0
0.5356236984316454,0.3036808844760418,0.29950543445134137,0.1914185897061501,0.4683847253757968,0.5244762809571372,4,2,2,2,4,1,0,0,0,1
0.3392228688426191,0.24135595537246662,0.26570810568507336,0.28161612882612325,0.4961398676319389,0.27598252993850747,0,0,0,0,0,0,0,0,0,0
0.3633571979796776,0.4033388400723599,0.454694145425866,0.43196625380120385,0.38471291939521773,0.3453637618876354,0,0,0,0,0,0,0,0,0,0
